recipient,reason,rewardToken,rewardAmount
0x8Cd32134847e764a3784A87C5a5B4c13474f516f,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,51.201489
0x3C3F95BB7470343D9B153bB0887ee766054D3372,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,50.517289
0x82fcd7cD3151b0ab9e4c00629f123D45AD17FA73,ERC20,PYTH,50.100772
0x4d03AEA34FFEfD6af6cc154B3f03501AE083fB92,ERC20,PYTH,49.978767
0xba96a2ba89eA249148ee599d2BBcD669DE94d4B6,ERC20,PYTH,48.614465
0x5bfbdc54a7054d4C60303DCd269E59b52BCFC1cA,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,46.952954
0x02B2D6a3298a4B20aa4F7A0a57e920E9FC9aD864,ERC20,PYTH,46.829451
0x02cEae0Aa5A9988f1D32E7E56e18A49F08848b75,ERC20,PYTH,46.735464
0x48Fb55eD1Fb62ED26274fb805f6444bEa97c1F28,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,46.366616
0xB9086E8c8bEAf77B316acd78dC8AA8b09f5FAb92,ERC20,PYTH,45.843541
0x5b63B4929094C6A68C39F787939B5B318C47272c,ERC20,PYTH,45.731284
0x7cac66ab4bB948FC4FECfC6a92c5E6D51Fe7CeE8,ERC20,PYTH,45.040622
0xb54F09a307e20b6E60F8b4f8d2b86cDFCd8efB01,ERC20,PYTH,43.611748
0x4FB0297ea31b84448A36Ed8efc31EBbc0124dcB0,ERC20,PYTH,43.071061
0x93Aa01eAb7F9D6C8511A4a873FEa19073334c004,ERC20,PYTH,42.399784
0xc4417F80695f9198d91B233F707EB73baD529497,ERC20,PYTH,41.723104
0xF1cCFA46B1356589EC6361468f3520Aff95B21c3,ERC20,PYTH,41.371979
0x37e06Ba4b0403D33BbaBaFD63662B1F0fbfdf2cd,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,41.324356
0xDB611d682cb1ad72fcBACd944a8a6e2606a6d158,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,41.10365
